,tweet_id,name,stage,rating_numerator,rating_denominator
4382,705898680587526145,Max,None,10,10
4383,705898680587526145,Max,None,10,10
4384,705786532653883392,None,None,11,10
4385,705786532653883392,None,None,11,10
4386,705786532653883392,None,pupper,11,10
4387,705786532653883392,None,None,11,10
4388,705591895322394625,None,None,11,10
4389,705591895322394625,None,None,11,10
4390,705591895322394625,None,None,11,10
4391,705591895322394625,None,None,11,10
4392,705475953783398401,Zara,None,12,10
4393,705475953783398401,Zara,None,12,10
4394,705475953783398401,Zara,None,12,10
4395,705475953783398401,Zara,None,12,10
4396,705442520700944385,Cooper,None,12,10
4397,705442520700944385,Cooper,None,12,10
4398,705442520700944385,Cooper,None,12,10
4399,705442520700944385,Cooper,None,12,10
4400,705428427625635840,Ambrose,None,11,10
4401,705428427625635840,Ambrose,None,11,10
4402,705428427625635840,Ambrose,pupper,11,10
4403,705428427625635840,Ambrose,None,11,10
4404,705239209544720384,Jimothy,None,11,10
4405,705239209544720384,Jimothy,None,11,10
4406,705239209544720384,Jimothy,None,11,10
4407,705239209544720384,Jimothy,None,11,10
4408,705223444686888960,Bode,None,9,10
4409,705223444686888960,Bode,None,9,10
4410,705223444686888960,Bode,None,9,10
4411,705223444686888960,Bode,None,9,10
4412,705102439679201280,Terrenth,None,10,10
4413,705102439679201280,Terrenth,None,10,10
4414,705102439679201280,Terrenth,None,10,10
4415,705102439679201280,Terrenth,None,10,10
4416,705066031337840642,Reese,None,12,10
4417,705066031337840642,Reese,None,12,10
4418,705066031337840642,Reese,None,12,10
4419,705066031337840642,Reese,None,12,10
4420,704871453724954624,None,None,12,10
4421,704871453724954624,None,None,12,10
4422,704871453724954624,None,None,12,10
4423,704871453724954624,None,None,12,10
4428,704847917308362754,None,None,12,10
4429,704847917308362754,None,None,12,10
4430,704847917308362754,None,None,12,10
4431,704847917308362754,None,None,12,10
4432,704819833553219584,Chesterson,None,7,10
4433,704819833553219584,Chesterson,None,7,10
4434,704819833553219584,Chesterson,None,7,10
4435,704819833553219584,Chesterson,None,7,10
4436,704761120771465216,None,None,13,10
4437,704761120771465216,None,None,13,10
4438,704761120771465216,None,pupper,13,10
4439,704761120771465216,None,None,13,10
4440,704499785726889984,None,None,12,10
4441,704499785726889984,None,None,12,10
4442,704499785726889984,None,None,12,10
4443,704499785726889984,None,None,12,10
4444,704480331685040129,Lucia,None,11,10
4445,704480331685040129,Lucia,None,11,10
4446,704480331685040129,Lucia,None,11,10
4447,704480331685040129,Lucia,None,11,10
4448,704364645503647744,Bisquick,None,12,10
4449,704364645503647744,Bisquick,None,12,10
4450,704364645503647744,Bisquick,None,12,10
4451,704364645503647744,Bisquick,None,12,10
4452,704347321748819968,Ralphson,None,10,10
4453,704347321748819968,Ralphson,None,10,10
4454,704347321748819968,Ralphson,pupper,10,10
4455,704347321748819968,Ralphson,None,10,10
4456,704113298707505153,Stanley,None,8,10
4457,704113298707505153,Stanley,None,8,10
4458,704113298707505153,Stanley,None,8,10
4459,704113298707505153,Stanley,None,8,10
4464,703774238772166656,None,None,10,10
4465,703774238772166656,None,None,10,10
4466,703774238772166656,None,None,10,10
4467,703774238772166656,None,None,10,10
4468,703769065844768768,None,None,10,10
4469,703769065844768768,None,None,10,10
4470,703769065844768768,None,None,10,10
4471,703769065844768768,None,None,10,10
4472,703631701117943808,Bella,None,11,10
4473,703631701117943808,Bella,None,11,10
4474,703631701117943808,Bella,None,11,10
4475,703631701117943808,Bella,None,11,10
4476,703611486317502464,Scooter,None,10,10
4477,703611486317502464,Scooter,None,10,10
4478,703611486317502464,Scooter,pupper,10,10
4479,703611486317502464,Scooter,None,10,10
4480,703425003149250560,None,None,9,10
4481,703425003149250560,None,None,9,10
4482,703425003149250560,None,None,9,10
4483,703425003149250560,None,None,9,10
4484,703407252292673536,None,None,10,10
4485,703407252292673536,None,None,10,10
4486,703407252292673536,None,pupper,10,10
4487,703407252292673536,None,None,10,10
4488,703382836347330562,Charlie,None,12,10
4489,703382836347330562,Charlie,None,12,10
4490,703382836347330562,Charlie,None,12,10
4491,703382836347330562,Charlie,None,12,10
4492,703356393781329922,Socks,None,9,10
4493,703356393781329922,Socks,None,9,10
4494,703356393781329922,Socks,None,9,10
4495,703356393781329922,Socks,None,9,10
4496,703268521220972544,None,None,12,10
4497,703268521220972544,None,None,12,10
4498,703268521220972544,None,pupper,12,10
4499,703268521220972544,None,None,12,10
4504,703041949650034688,an,None,10,10
4505,703041949650034688,an,None,10,10
4506,703041949650034688,an,None,10,10
4507,703041949650034688,an,None,10,10
4508,702932127499816960,Chip,None,6,10
4509,702932127499816960,Chip,None,6,10
4510,702932127499816960,Chip,None,6,10
4511,702932127499816960,Chip,None,6,10
4512,702684942141153280,Lucy,None,11,10
4513,702684942141153280,Lucy,None,11,10
4514,702684942141153280,Lucy,None,11,10
4515,702684942141153280,Lucy,None,11,10
4516,702671118226825216,Rambo,None,10,10
4517,702671118226825216,Rambo,None,10,10
4518,702671118226825216,Rambo,None,10,10
4519,702671118226825216,Rambo,None,10,10
4520,702598099714314240,Sansa,None,11,10
4521,702598099714314240,Sansa,None,11,10
4522,702598099714314240,Sansa,pupper,11,10
4523,702598099714314240,Sansa,None,11,10
4528,702321140488925184,None,None,12,10
4529,702321140488925184,None,None,12,10
4530,702321140488925184,None,None,12,10
4531,702321140488925184,None,None,12,10
4532,702276748847800320,None,None,11,10
4533,702276748847800320,None,None,11,10
4534,702276748847800320,None,None,11,10
4535,702276748847800320,None,None,11,10
4536,702217446468493312,None,None,9,10
4537,702217446468493312,None,None,9,10
4538,702217446468493312,None,None,9,10
4539,702217446468493312,None,None,9,10
4540,701981390485725185,Fiji,None,12,10
4541,701981390485725185,Fiji,None,12,10
4542,701981390485725185,Fiji,None,12,10
4543,701981390485725185,Fiji,None,12,10
4544,701952816642965504,Rilo,None,11,10
4545,701952816642965504,Rilo,None,11,10
4546,701952816642965504,Rilo,None,11,10
4547,701952816642965504,Rilo,None,11,10
4548,701889187134500865,Bilbo,None,11,10
4549,701889187134500865,Bilbo,None,11,10
4550,701889187134500865,Bilbo,None,11,10
4551,701889187134500865,Bilbo,None,11,10
4552,701601587219795968,Coopson,None,10,10
4553,701601587219795968,Coopson,None,10,10
4554,701601587219795968,Coopson,None,10,10
4555,701601587219795968,Coopson,None,10,10
4556,701570477911896070,Yoda,None,9,10
4557,701570477911896070,Yoda,None,9,10
4558,701570477911896070,Yoda,None,9,10
4559,701570477911896070,Yoda,None,9,10
4560,701545186879471618,Millie,None,10,10
4561,701545186879471618,Millie,None,10,10
4562,701545186879471618,Millie,pupper,10,10
4563,701545186879471618,Millie,None,10,10
4564,701214700881756160,None,None,12,10
4565,701214700881756160,None,None,12,10
4566,701214700881756160,None,None,12,10
4567,701214700881756160,None,None,12,10
4568,700890391244103680,Chet,None,11,10
4569,700890391244103680,Chet,None,11,10
4570,700890391244103680,Chet,None,11,10
4571,700890391244103680,Chet,None,11,10
4576,700847567345688576,Crouton,None,10,10
4577,700847567345688576,Crouton,None,10,10
4578,700847567345688576,Crouton,None,10,10
4579,700847567345688576,Crouton,None,10,10
4580,700796979434098688,Daniel,None,7,10
4581,700796979434098688,Daniel,None,7,10
4582,700796979434098688,Daniel,None,7,10
4583,700796979434098688,Daniel,None,7,10
4584,700747788515020802,very,None,11,10
4585,700747788515020802,very,None,11,10
4586,700747788515020802,very,None,11,10
4587,700747788515020802,very,None,11,10
4588,700518061187723268,Vincent,None,10,10
4589,700518061187723268,Vincent,None,10,10
4590,700518061187723268,Vincent,None,10,10
4591,700518061187723268,Vincent,None,10,10
4592,700505138482569216,Kaia,None,12,10
4593,700505138482569216,Kaia,None,12,10
4594,700505138482569216,Kaia,None,12,10
4595,700505138482569216,Kaia,None,12,10
4596,700462010979500032,Murphy,None,6,10
4597,700462010979500032,Murphy,None,6,10
4598,700462010979500032,Murphy,None,6,10
4599,700462010979500032,Murphy,None,6,10
4600,700167517596164096,Dotsy,None,10,10
4601,700167517596164096,Dotsy,None,10,10
4602,700167517596164096,Dotsy,None,10,10
4603,700167517596164096,Dotsy,None,10,10
4604,700151421916807169,None,None,11,10
4605,700151421916807169,None,None,11,10
4606,700151421916807169,None,pupper,11,10
4607,700151421916807169,None,None,11,10
4608,700143752053182464,None,None,10,10
4609,700143752053182464,None,None,10,10
4610,700143752053182464,None,pupper,10,10
4611,700143752053182464,None,None,10,10
4612,700062718104104960,Eazy,None,6,10
4613,700062718104104960,Eazy,None,6,10
4614,700062718104104960,Eazy,None,6,10
4615,700062718104104960,Eazy,None,6,10
4616,700029284593901568,Coops,None,10,10
4617,700029284593901568,Coops,None,10,10
4618,700029284593901568,Coops,None,10,10
4619,700029284593901568,Coops,None,10,10
4620,700002074055016451,Thumas,None,9,10
4621,700002074055016451,Thumas,None,9,10
4622,700002074055016451,Thumas,None,9,10
4623,700002074055016451,Thumas,None,9,10
4624,699801817392291840,Cooper,None,11,10
4625,699801817392291840,Cooper,None,11,10
4626,699801817392291840,Cooper,pupper,11,10
4627,699801817392291840,Cooper,None,11,10
4628,699788877217865730,Nala,None,12,10
4629,699788877217865730,Nala,None,12,10
4630,699788877217865730,Nala,None,12,10
4631,699788877217865730,Nala,None,12,10
4632,699779630832685056,None,None,10,10
4633,699779630832685056,None,None,10,10
4634,699779630832685056,None,None,10,10
4635,699779630832685056,None,None,10,10
4636,699775878809702401,Fillup,None,11,10
4637,699775878809702401,Fillup,None,11,10
4638,699775878809702401,Fillup,None,11,10
4639,699775878809702401,Fillup,None,11,10
4640,699691744225525762,Dave,None,5,10
4641,699691744225525762,Dave,None,5,10
4642,699691744225525762,Dave,None,5,10
4643,699691744225525762,Dave,None,5,10
4644,699446877801091073,Archie,None,12,10
4645,699446877801091073,Archie,None,12,10
4646,699446877801091073,Archie,None,12,10
4647,699446877801091073,Archie,None,12,10
4648,699434518667751424,None,None,12,10
4649,699434518667751424,None,None,12,10
4650,699434518667751424,None,pupper,12,10
4651,699434518667751424,None,None,12,10
4652,699423671849451520,None,None,10,10
4653,699423671849451520,None,None,10,10
4654,699423671849451520,None,None,10,10
4655,699423671849451520,None,None,10,10
4656,699413908797464576,Miley,None,11,10
4657,699413908797464576,Miley,None,11,10
4658,699413908797464576,Miley,None,11,10
4659,699413908797464576,Miley,None,11,10
4660,699370870310113280,Calbert,None,11,10
4661,699370870310113280,Calbert,None,11,10
4662,699370870310113280,Calbert,None,11,10
4663,699370870310113280,Calbert,None,11,10
4664,699323444782047232,None,None,10,10
4665,699323444782047232,None,None,10,10
4666,699323444782047232,None,None,10,10
4667,699323444782047232,None,None,10,10
4668,699088579889332224,Charl,None,3,10
4669,699088579889332224,Charl,None,3,10
4670,699088579889332224,Charl,None,3,10
4671,699088579889332224,Charl,None,3,10
4672,699079609774645248,Reagan,None,8,10
4673,699079609774645248,Reagan,None,8,10
4674,699079609774645248,Reagan,None,8,10
4675,699079609774645248,Reagan,None,8,10
4676,699072405256409088,None,None,12,10
4677,699072405256409088,None,None,12,10
4678,699072405256409088,None,None,12,10
