tweet_id,name,stage,rating_numerator,rating_denominator
874296783580663808,Jed,None,13,10
874296783580663808,Jed,None,13,10
874296783580663808,Jed,pupper,13,10
874296783580663808,Jed,None,13,10
874057562936811520,None,None,12,10
874057562936811520,None,None,12,10
874057562936811520,None,None,12,10
874057562936811520,None,None,12,10
874012996292530176,Sebastian,None,13,10
874012996292530176,Sebastian,None,13,10
874012996292530176,Sebastian,None,13,10
874012996292530176,Sebastian,puppo,13,10
873580283840344065,None,None,13,10
873580283840344065,None,None,13,10
873580283840344065,None,None,13,10
873580283840344065,None,None,13,10
873213775632977920,Sierra,None,12,10
873213775632977920,Sierra,None,12,10
873213775632977920,Sierra,pupper,12,10
873213775632977920,Sierra,None,12,10
872967104147763200,None,doggo,12,10
872967104147763200,None,None,12,10
872967104147763200,None,None,12,10
872967104147763200,None,None,12,10
872820683541237760,None,None,13,10
872820683541237760,None,None,13,10
872820683541237760,None,None,13,10
872820683541237760,None,None,13,10
872620804844003328,Monkey,None,13,10
872620804844003328,Monkey,None,13,10
872620804844003328,Monkey,None,13,10
872620804844003328,Monkey,None,13,10
872486979161796608,None,None,12,10
872486979161796608,None,None,12,10
872486979161796608,None,None,12,10
872486979161796608,None,None,12,10
872122724285648897,Kody,None,12,10
872122724285648897,Kody,None,12,10
872122724285648897,Kody,None,12,10
872122724285648897,Kody,None,12,10
871879754684805121,Lassie,None,13,10
871879754684805121,Lassie,None,13,10
871879754684805121,Lassie,None,13,10
871879754684805121,Lassie,None,13,10
871762521631449091,Rover,None,12,10
871762521631449091,Rover,None,12,10
871762521631449091,Rover,pupper,12,10
871762521631449091,Rover,None,12,10
871515927908634625,Napolean,doggo,12,10
871515927908634625,Napolean,None,12,10
871515927908634625,Napolean,None,12,10
871515927908634625,Napolean,None,12,10
871032628920680449,Boomer,None,13,10
871032628920680449,Boomer,None,13,10
871032628920680449,Boomer,None,13,10
871032628920680449,Boomer,None,13,10
870804317367881728,None,None,11,10
870804317367881728,None,None,11,10
870804317367881728,None,None,11,10
870804317367881728,None,None,11,10
870656317836468226,Cody,None,13,10
870656317836468226,Cody,None,13,10
870656317836468226,Cody,None,13,10
870656317836468226,Cody,None,13,10
870374049280663552,Zoey,None,13,10
870374049280663552,Zoey,None,13,10
870374049280663552,Zoey,None,13,10
870374049280663552,Zoey,None,13,10
870308999962521604,Rumble,None,13,10
870308999962521604,Rumble,None,13,10
870308999962521604,Rumble,None,13,10
870308999962521604,Rumble,None,13,10
870063196459192321,Clifford,None,14,10
870063196459192321,Clifford,None,14,10
870063196459192321,Clifford,None,14,10
870063196459192321,Clifford,None,14,10
869772420881756160,Dewey,None,13,10
869772420881756160,Dewey,None,13,10
869772420881756160,Dewey,None,13,10
869772420881756160,Dewey,None,13,10
869702957897576449,Stanley,None,13,10
869702957897576449,Stanley,None,13,10
869702957897576449,Stanley,None,13,10
869702957897576449,Stanley,None,13,10
869596645499047938,Scout,doggo,12,10
869596645499047938,Scout,None,12,10
869596645499047938,Scout,None,12,10
869596645499047938,Scout,None,12,10
869227993411051520,Gizmo,None,13,10
869227993411051520,Gizmo,None,13,10
869227993411051520,Gizmo,None,13,10
869227993411051520,Gizmo,None,13,10
868880397819494401,Walter,None,14,10
868880397819494401,Walter,None,14,10
868880397819494401,Walter,None,14,10
868880397819494401,Walter,None,14,10
868622495443632128,None,None,13,10
868622495443632128,None,None,13,10
868622495443632128,None,None,13,10
868622495443632128,None,None,13,10
868552278524837888,Cooper,None,12,10
868552278524837888,Cooper,None,12,10
